sentencebefore,word,sentenceafter,stim,ComparisonOfInterest,onset,vowel,coda,MinimalPairBy,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,date,frameRate,expName,session,participant,
We say ,do, again,We say 'do' again,"onset manner (stops vs. fric, voiced)",d,uw,#,onset,0,71,71,16,down,1.6021490097,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,chew, again,We say 'chew' again,onset manner (fricatives vs affricates),ch,uw,#,onset,0,72,72,38,down,1.59713292122,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,neck, again,We say 'neck' again,onset nasality,n,eh,k,onset,0,73,73,3,down,1.68314480782,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,half, again,We say 'half' again,coda voicing (fricatives),h,ae,f,coda,0,74,74,69,down,2.28115820885,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,den, again,We say 'den' again,onset voicing (stops),d,eh,n,onset,0,75,75,6,down,1.54936599731,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,clock, again,We say 'clock' again,coda voicing (stops),cl,aa,k,coda,0,76,76,55,down,1.66874504089,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,clog, again,We say 'clog' again,coda voicing (stops),cl,aa,g,coda,0,77,77,54,down,2.13781905174,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,sheep, again,We say 'sheep' again,onset manner (fricatives vs affricates),sh,iy,p,onset,0,78,78,37,down,1.83117890358,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,rib, again,We say 'rib' again,coda nasality; coda voicing (stops),r,ih,b,coda,0,79,79,46,down,1.56718087196,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,bat, again,We say 'bat' again,coda voicing (stops),b,ae,t,coda,0,80,80,57,down,2.00260901451,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,watch, again,We say 'watch' again,coda manner (fricatives vs affricates),disyllabic,disyllabic,disyllabic,stress,0,81,81,83,down,1.63716697693,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,bad, again,We say 'bad' again,coda voicing (stops),b,ae,d,coda,0,82,82,56,down,2.21968197823,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,latch, again,We say 'latch' again,coda manner (fricatives vs affricates),l,ae,ch,coda,0,83,83,79,down,1.66520190239,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,sue, again,We say 'sue' again,onset voicing (fricatives),s,uw,#,onset,0,84,84,29,down,1.80029702187,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,edge, again,We say 'edge' again,coda voicing (affricates),#,eh,jh,coda,0,85,85,74,down,1.94772982597,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,batch, again,We say 'batch' again,onset nasality,b,ae,ch,onset,0,86,86,0,down,1.7191889286,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,fade, again,We say 'fade' again,"onset manner (stops vs. fric, voiceless)",f,ey,d,onset,0,87,87,19,down,2.11352705956,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,rip, again,We say 'rip' again,coda voicing (stops),r,ih,p,coda,0,88,88,61,down,1.57347893715,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,cab, again,We say 'cab' again,coda voicing (stops),k,aa,b,coda,0,89,89,58,down,2.13696908951,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,match, again,We say 'match' again,onset nasality,m,ae,ch,onset,0,90,90,1,down,1.6190829277,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,joke, again,We say 'joke' again,onset voicing (affricates),jh,ow,k,onset,0,91,91,35,down,2.38828492165,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,gap, again,We say 'gap' again,onset voicing (stops),g,ae,p,onset,0,92,92,8,down,1.69860100746,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
We say ,ridge, again,We say 'ridge' again,coda voicing (affricates),r,ih,jh,coda,0,93,93,72,down,1.94815802574,2020_Oct_09_1214,59.68687297038072,RecordingExp,001,CB,
