sentencebefore,word,sentenceafter,stim,ComparisonOfInterest,onset,vowel,coda,MinimalPairBy,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,date,frameRate,expName,session,participant,
We say ,deck, again,We say 'deck' again,onset nasality,d,eh,k,onset,0,51,51,2,right,1.96744608879,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,"suspect (verb, susPECT)", again,"We say 'suspect' again (verb, susPECT)",stress,disyllabic,disyllabic,disyllabic,stress,0,52,52,91,right,2.61871504784,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,fuss, again,We say 'fuss' again,coda voicing (fricatives),f,ah,s,coda,0,53,53,65,right,1.86362600327,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,sue, again,We say 'sue' again,onset voicing (fricatives),s,uw,#,onset,0,54,54,29,right,2.03294420242,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,have, again,We say 'have' again,coda voicing (fricatives),h,ae,v,coda,0,55,55,68,right,2.06664395332,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,lash, again,We say 'lash' again,coda manner (fricatives vs affricates),l,ae,sh,coda,0,56,56,78,right,2.08457779884,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,chug, again,We say 'chug' again,onset voicing (affricates),ch,ah,g,onset,0,57,57,32,right,2.21955895424,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,vote, again,We say 'vote' again,"onset manner (stops vs. fric, voiced)",v,ow,t,onset,0,58,58,13,right,1.93140602112,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,vase, again,We say 'vase' again,"onset manner (stops vs. fric, voiced)",v,ey,s,onset,0,59,59,11,right,1.83643102646,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,badge, again,We say 'badge' again,coda voicing (affricates),b,ae,jh,coda,0,60,60,76,right,2.50564289093,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,sap, again,We say 'sap' again,"onset manner (stops vs. fric, voiceless); onset voicing (fricatives)",s,ae,p,onset,0,61,61,25,right,2.01525497437,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,zap, again,We say 'zap' again,onset voicing (fricatives),z,ae,p,onset,0,62,62,28,right,1.93780684471,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,"insult (verb, inSULT)", again,"We say 'insult' again (verb, inSULT)",stress,disyllabic,disyllabic,disyllabic,stress,0,63,63,93,right,2.48587393761,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,rib, again,We say 'rib' again,coda nasality; coda voicing (stops),r,ih,b,coda,0,64,64,46,right,2.38668513298,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,half, again,We say 'half' again,coda voicing (fricatives),h,ae,f,coda,0,65,65,69,right,1.63628196716,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,choke, again,We say 'choke' again,onset voicing (affricates),ch,ow,k,onset,0,66,66,34,right,1.86607789993,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,boat, again,We say 'boat' again,"onset manner (stops vs. fric, voiced)",b,ow,t,onset,0,67,67,12,right,1.81711220741,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,mop, again,We say 'mop' again,coda voicing (stops),m,aa,p,coda,0,68,68,53,right,1.80237293243,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,plod, again,We say 'plod' again,coda voicing (stops),pl,aa,d,coda,0,69,69,50,right,2.03520798683,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,zip, again,We say 'zip' again,"onset manner (stops vs. fric, voiced)",z,ih,p,onset,0,70,70,15,right,1.71496486664,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,van, again,We say 'van' again,onset voicing (fricatives),v,ae,n,onset,0,71,71,26,right,2.09032201767,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,mace, again,We say 'mace' again,coda voicing (fricatives),m,ey,s,coda,0,72,72,67,right,1.58575391769,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,paid, again,We say 'paid' again,"onset manner (stops vs. fric, voiceless)",p,ey,d,onset,0,73,73,18,right,2.29938220978,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,bid, again,We say 'bid' again,coda voicing (stops),b,ih,d,coda,0,74,74,59,right,1.80292701721,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,jug, again,We say 'jug' again,onset voicing (affricates),jh,ah,g,onset,0,75,75,33,right,1.94886398315,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,cap, again,We say 'cap' again,onset voicing (stops); coda voicing (stops),k,ae,p,onset,0,76,76,9,right,2.31672906876,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,bean, again,We say 'bean' again,coda nasality,b,iy,n,coda,0,77,77,43,right,2.08193087578,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,mob, again,We say 'mob' again,coda voicing (stops),m,aa,b,coda,0,78,78,52,right,2.13210916519,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,leaf, again,We say 'leaf' again,coda voicing (fricatives),l,iy,f,coda,0,79,79,71,right,1.80100417137,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,roam, again,We say 'roam' again,coda nasality,r,ow,m,coda,0,80,80,49,right,1.98280000687,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
We say ,rich, again,We say 'rich' again,coda voicing (affricates),r,ih,ch,coda,0,81,81,73,right,1.88241505623,2020_Oct_09_1206,59.77925750250844,RecordingExp,001,CS,
